Word,Translation,Part of Speech,Example Sentence,Example Translation
tank,ถัง,n.,"""She told a fascinating tale.""","""เธอเล่าเรื่องที่น่าสนใจ"""
tap,แตะ,v./ n.,"""Fill up the gas tank.""","""เติมถังแก๊ส."""
target,เป้า,v.,"""Use a tap to get water from the faucet.""","""ใช้ก๊อกน้ำเพื่อรับน้ำจากก๊อกน้ำ"""
technological,เทคโนโลยี,adj.,"""The archer aimed at the target.""","""นักธนูเล็งไปที่เป้าหมาย"""
teens,วัยรุ่น,n.,"""Technological advancements improve our lives.""","""ความก้าวหน้าทางเทคโนโลยีทำให้ชีวิตของเราดีขึ้น"""
temple,วัด,n.,"""Teens enjoy spending time with friends.""","""วัยรุ่นสนุกกับการใช้เวลาอยู่กับเพื่อนฝูง"""
temporary,ชั่วคราว,adj.,"""The temple is a place of worship.""","""วัดเป็นสถานที่สักการะ"""
tendency,แนวโน้ม,n.,"""This is just a temporary solution.""","""นี่เป็นเพียงวิธีแก้ปัญหาชั่วคราว"""
tension,ความเครียด,n.,"""There's a tendency to procrastinate.""","""มีแนวโน้มที่จะผัดวันประกันพรุ่ง"""
terms,เงื่อนไข,n.,"""There's tension in the room.""","""มีความตึงเครียดในห้อง"""
term,ภาคเรียน,v.,"""Let's discuss the terms of the contract.""","""เรามาหารือเกี่ยวกับเงื่อนไขของสัญญากันดีกว่า"""
terribly,ชะมัด,adv.,"""I'll meet you next term.""","""เจอกันใหม่งวดหน้าค่ะ"""
terrify,น่ากลัว,v.,"""The storm was terribly frightening.""","""พายุนั้นน่ากลัวมาก"""
territory,อาณาเขต,n.,"""The horror movie will terrify you.""","""หนังสยองขวัญจะทำให้คุณหวาดกลัว"""
terrorist,ผู้ก่อการร้าย,n.,"""The territory was vast and unexplored.""","""ดินแดนนั้นกว้างใหญ่และยังไม่มีใครสำรวจ"""
terror,ความหวาดกลัว,n.,"""Terrorism poses a global threat.""","""การก่อการร้ายก่อให้เกิดภัยคุกคามระดับโลก"""
testing,การทดสอบ,n.,"""The terror attack shocked the nation.""","""การโจมตีของผู้ก่อการร้ายทำให้ทั้งประเทศตกใจ"""
textbook,หนังสือเรียน,n.,"""Students are preparing for testing.""","""นักเรียนกำลังเตรียมตัวสอบ"""
theft,ขโมย,n.,"""The textbook explains the concepts.""","""หนังสือเรียนอธิบายแนวคิดต่างๆ"""
therapist,นักบำบัด,n.,"""The theft of the car was reported.""","""มีการรายงานการโจรกรรมรถยนต์"""
thesis,วิทยานิพนธ์,n.,"""The therapist helps with mental health.""","""นักบำบัดช่วยในเรื่องสุขภาพจิต"""
thorough,อย่างละเอียด,adj.,"""She's working on her thesis.""","""เธอกำลังทำงานทำวิทยานิพนธ์ของเธอ"""
thumb,นิ้วหัวแม่มือ,n.,"""Be thorough when reviewing the document.""","""พิจารณาอย่างละเอียดถี่ถ้วนเมื่อตรวจสอบเอกสาร"""
timing,เวลา,n.,"""I hurt my thumb while playing.""","""ฉันเจ็บนิ้วหัวแม่มือขณะเล่น"""
tissue,เนื้อเยื่อ,n.,"""Timing is crucial in this project.""","""เวลาเป็นสิ่งสำคัญในโครงการนี้"""
ton,ตัน,n.,"""The tissue is soft and delicate.""","""เนื้อเยื่อมีความนุ่มและละเอียดอ่อน"""
tonne,ตัน,n.,"""The package weighs one ton.""","""บรรจุภัณฑ์มีน้ำหนักหนึ่งตัน"""
tournament,ทัวร์นาเมนต์,n.,"""The shipment includes a tonne of steel.""","""การจัดส่งประกอบด้วยเหล็กหนึ่งตัน"""
trace,ติดตาม,v.,"""The soccer tournament was intense.""","""การแข่งขันฟุตบอลมีความเข้มข้น"""
trading,การซื้อขาย,n.,"""Use a pencil to trace the outline.""","""ใช้ดินสอวาดโครงร่าง"""
tragedy,โศกนาฏกรรม,n.,"""Trading stocks can be risky.""","""การซื้อขายหุ้นก็มีความเสี่ยงได้"""
tragic,น่าเศร้า,adj.,"""The accident was a tragic event.""","""อุบัติเหตุครั้งนี้ถือเป็นเหตุการณ์ที่น่าเศร้า"""
trait,ลักษณะ,n.,"""Kindness is a positive trait.""","""ความมีน้ำใจเป็นคุณลักษณะเชิงบวก"""
transmit,ส่ง,v.,"""Transmit the message to headquarters.""","""ส่งข้อความไปยังสำนักงานใหญ่"""
transportation,การขนส่ง,n.,"""Public transportation is convenient.""","""การขนส่งสาธารณะก็สะดวก"""
trap,กับดัก,v./ n.,"""Be careful not to fall into the trap.""","""ระวังอย่าให้ตกหลุมพราง"""
treasure,สมบัติ,n.,"""The map leads to hidden treasure.""","""แผนที่นำไปสู่สมบัติที่ซ่อนอยู่"""
tribe,ชนเผ่า,n.,"""The tribe lives in the rainforest.""","""ชนเผ่าอาศัยอยู่ในป่าฝน"""
