Word,Translation,Part of Speech,Example Sentence,Translation
trophy,ถ้วยรางวัล,n.,He received a trophy for his achievements.,เขาได้รับถ้วยรางวัลจากความสำเร็จของเขา
troubled,มีปัญหา,adj.,She felt troubled by recent events.,เธอรู้สึกหนักใจกับเหตุการณ์ล่าสุด
trustee,ผู้ดูแลผลประโยชน์,n.,The trustee manages the funds.,ผู้ดูแลจัดการเงินทุน
tuition,ค่าเล่าเรียน,n.,The university increased tuition fees.,มหาวิทยาลัยขึ้นค่าเล่าเรียน
turnout,ผลิตภัณฑ์,n.,The voter turnout was high.,จำนวนผู้มีสิทธิเลือกตั้งอยู่ในระดับสูง
turnover,มูลค่าการซื้อขาย,n.,The turnover of staff is concerning.,การหมุนเวียนของพนักงานเป็นเรื่องที่น่ากังวล
twist,บิด,v./ n.,The story had an unexpected twist.,เรื่องราวมีการหักมุมที่ไม่คาดคิด
undergraduate,ระดับปริญญาตรี,n.,She is an undergraduate student.,เธอเป็นนักศึกษาระดับปริญญาตรี
underlying,อยู่ข้างใต้,adj.,The underlying issue needs addressing.,ปัญหาพื้นฐานจำเป็นต้องได้รับการแก้ไข
undermine,บ่อนทำลาย,v.,His actions undermine trust.,การกระทำของเขาบ่อนทำลายความไว้วางใจ
undoubtedly,ไม่ต้องสงสัยเลย,adv.,"Undoubtedly, he is the best candidate.",ไม่ต้องสงสัยเลยว่าเขาคือผู้สมัครที่ดีที่สุด
unify,รวมเป็นหนึ่ง,v.,The goal is to unify the community.,เป้าหมายคือการรวมชุมชนเป็นหนึ่งเดียว
unprecedented,เป็นประวัติการณ์,adj.,The achievement was unprecedented.,ความสำเร็จเป็นประวัติการณ์
unveil,เปิดเผย,v.,They will unveil the new product.,พวกเขาจะเปิดตัวผลิตภัณฑ์ใหม่
upcoming,ที่กำลังจะมาถึง,adj.,Stay tuned for upcoming events.,คอยติดตามกิจกรรมที่จะเกิดขึ้น
upgrade,อัพเกรด,v./ n.,They plan to upgrade the software.,พวกเขาวางแผนที่จะอัพเกรดซอฟต์แวร์
uphold,ส่งเสริม,v.,It's important to uphold justice.,สิ่งสำคัญคือต้องรักษาความยุติธรรม
utility,คุณประโยชน์,n.,The utility of the device is clear.,ยูทิลิตี้ของอุปกรณ์มีความชัดเจน
utilize,ใช้,v.,They need to utilize their resources.,พวกเขาจำเป็นต้องใช้ทรัพยากรของตน
utterly,อย่างเต็มที่,adv.,He was utterly exhausted.,เขาหมดแรงแล้ว
vacuum,เครื่องดูดฝุ่น,n.,The vacuum cleaner was noisy.,เครื่องดูดฝุ่นก็มีเสียงดัง
vague,คลุมเครือ,adj.,His explanation was vague.,คำอธิบายของเขาคลุมเครือ
validity,ความถูกต้อง,n.,The validity of the claim is questionable.,ความถูกต้องของการอ้างสิทธิ์ยังเป็นที่น่าสงสัย
vanish,หายไป,v.,The hope is that poverty will vanish.,ความหวังก็คือความยากจนจะหายไป
variable,ตัวแปร,n./ adj.,Weather conditions are variable.,สภาพอากาศมีความแปรปรวน
